"Tulsa, Okla. : Continental Heritage Press, c1980"	"http://suncat.csun.edu/record=b1393612~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York : Ballantine Books, 1979"	"http://suncat.csun.edu/record=b1364637~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York : <font color=RED><strong>The</strong></font> Century Co, [c1924"	"http://suncat.csun.edu/record=b1743444~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
		
"New York : Macmillan, 1977"	"http://suncat.csun.edu/record=b1314718~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(The+Elements+of+Style)+and+a:(Strunk)
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Born+for+Liberty+A+History+of+Women+in+America)+and+a:(Evans)
		
"New York : Free Press ; London : Collier Macmillan, c1982"	"http://suncat.csun.edu/record=b1916234~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York : Free Press, c1980"	"http://suncat.csun.edu/record=b1508838~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Shadowed+Lives+Undocumented+Immigrants+in+American+Society)+and+a:(Chavez)
		
"New York : Holt, Rinehart and Winston, c1971"	"http://suncat.csun.edu/record=b1498467~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
		
"New York : Harper &amp; Row, c1977"	"http://suncat.csun.edu/record=b1334123~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(A+Religious+History+of+America)+and+a:(Gaustad)
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Fusang+The+Chinese+Who+Built+America)+and+a:(Steiner)
		
1st ed	"http://suncat.csun.edu/record=b1605665~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York, NY : HarperCollins, c1990"	"http://suncat.csun.edu/record=b1615595~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
		
"London : Eyre &amp; Spottiswoode, 1971"	"http://suncat.csun.edu/record=b1315894~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
		
"Old Westbury, N.Y. : Feminist Press, 1980"	"http://suncat.csun.edu/record=b1361838~S9"" id=""recordnum""></a></div>"	nomatch
		
"xv, 399 p. ; 24 cm"	"http://suncat.csun.edu/record=b1570292~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York : McGraw-Hill, c1980"	"http://suncat.csun.edu/record=b1377988~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(California+An+Interpretive+History)+and+a:(Rawls)
		
"Philadelphia : Temple University Press, 1990"	"http://suncat.csun.edu/record=b1604970~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Religious+and+Spiritual+Groups+in+Modern+America)+and+a:(Ellwood)
		
"New York, Coward, McCann &amp; Geoghegan [1972"	"http://suncat.csun.edu/record=b1125458~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
		
"Urbana, University  Illinois Press [1973"	"http://suncat.csun.edu/record=b1164382~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Cadillac+Desert+The+American+West+and+Its+Disappearing+Water)+and+a:(Reisner)
nopub	nolink	nomatch
		
